Datum Tid (UTC) Lufttemperatur Kvalitet
1961 01 01 0.933333 G
1961 01 02 2.13333 G
1961 01 03 2.2 G
1961 01 04 2.13333 G
1961 01 05 2.26667 G
1961 01 06 1.93333 G
1961 01 07 1.66667 G
1961 01 08 0.333333 G
1961 01 09 2.2 G
1961 01 10 2.4 G
1961 01 11 -1.2 G
1961 01 12 -2.4 G
1961 01 13 2.33333 G
1961 01 14 1.8 G
1961 01 15 2.9 G
1961 01 16 0.6 G
1961 01 17 0.133333 G
1961 01 18 -2.23333 G
1961 01 19 -2.26667 G
1961 01 20 -1.06667 G
1961 01 21 -0.266667 G
1961 01 22 -2.33333 G
1961 01 23 -0.6 G
1961 01 24 -4.43333 G
1961 01 25 -5.96667 G
1961 01 26 -5.8 G
1961 01 27 -5 G
1961 01 28 -0.4 G
1961 01 29 2.93333 G
1961 01 30 4.76667 G
1961 01 31 3.13333 G
1961 02 01 1.33333 G
1961 02 02 1 G
1961 02 03 0.0333333 G
1961 02 04 -0.666667 G
1961 02 05 -0.4 G
1961 02 06 1.23333 G
1961 02 07 2.36667 G
1961 02 08 3.03333 G
1961 02 09 2.4 G
1961 02 10 2.36667 G
1961 02 11 4.26667 G
1961 02 12 3 G
1961 02 13 3.16667 G
1961 02 14 5.66667 G
1961 02 15 5.03333 G
1961 02 16 4.4 G
1961 02 17 3.63333 G
1961 02 18 5.03333 G
1961 02 19 4.8 G
1961 02 20 3.56667 G
1961 02 21 1.96667 G
1961 02 22 1.76667 G
1961 02 23 1.2 G
1961 02 24 1.36667 G
1961 02 25 5.76667 G
1961 02 26 3.83333 G
1961 02 27 7.46667 G
1961 02 28 4.3 G
1961 03 01 3.06667 G
1961 03 02 4.4 G
1961 03 03 4.3 G
1961 03 04 5.43333 G
1961 03 05 5 G
1961 03 06 5.33333 G
1961 03 07 6.06667 G
1961 03 08 7.1 G
1961 03 09 8.96667 G
1961 03 10 7.43333 G
1961 03 11 6.5 G
1961 03 12 6.96667 G
1961 03 13 5.2 G
1961 03 14 7.26667 G
1961 03 15 8.7 G
1961 03 16 8.8 G
1961 03 17 9.5 G
1961 03 18 6.16667 G
1961 03 19 0.2 G
1961 03 20 1.86667 G
1961 03 21 1.36667 G
1961 03 22 0.766667 G
1961 03 23 7.1 G
1961 03 24 8.06667 G
1961 03 25 8.13333 G
1961 03 26 6.2 G
