Datum Tid (UTC) Lufttemperatur Kvalitet
1951 01 01 -2.06667 Y
1951 01 02 -1.1 Y
1951 01 03 1 Y
1951 01 04 1.03333 Y
1951 01 05 0.333333 Y
1951 01 06 1.03333 Y
1951 01 07 -1.53333 Y
1951 01 08 -2.9 Y
1951 01 09 -2.3 Y
1951 01 10 -1.1 Y
1951 01 11 -0.0333333 Y
1951 01 12 2.63333 Y
1951 01 13 0.8 Y
1951 01 14 2.16667 Y
1951 01 15 1.93333 Y
1951 01 16 0.6 Y
1951 01 17 -1.3 Y
1951 01 18 1.93333 Y
1951 01 19 2.06667 Y
1951 01 20 1.06667 Y
1951 01 21 -2.46667 Y
1951 01 22 -4.23333 Y
1951 01 23 -5.63333 Y
1951 01 24 -4.23333 Y
1951 01 25 -3.36667 Y
1951 01 26 -5.8 Y
1951 01 27 -3.16667 Y
1951 01 28 -4.66667 Y
1951 01 29 -1.16667 Y
1951 01 30 -2.03333 Y
1951 01 31 -2.76667 Y
1951 02 01 -4.2 Y
1951 02 02 -4.86667 Y
1951 02 03 -5.2 Y
1951 02 04 -3.46667 Y
1951 02 05 -2.2 Y
1951 02 06 0.566667 Y
1951 02 07 0.5 Y
1951 02 08 0.3 Y
1951 02 09 1.5 Y
1951 02 10 0.733333 Y
1951 02 11 1.33333 Y
1951 02 12 -0.466667 Y
1951 02 13 -0.333333 Y
1951 02 14 -2.76667 Y
1951 02 15 -5.6 Y
1951 02 16 -4.26667 Y
1951 02 17 -2.83333 Y
1951 02 18 0.766667 Y
1951 02 19 1.23333 Y
1951 02 20 1 Y
1951 02 21 0.9 Y
1951 02 22 0.633333 Y
1951 02 23 1.33333 Y
1951 02 24 0.733333 Y
1951 02 25 -0.733333 Y
1951 02 26 4.96705e-09 Y
1951 02 27 -0.1 Y
1951 02 28 -3.53333 Y
1951 03 01 -1.53333 Y
1951 03 02 -2.63333 Y
1951 03 03 -2.8 Y
1951 03 04 -1.93333 Y
1951 03 05 -3.16667 Y
1951 03 06 -2.86667 Y
1951 03 07 -2.3 Y
1951 03 08 -2 Y
1951 03 09 -3.8 Y
1951 03 10 -5.43333 Y
1951 03 11 -7.1 Y
1951 03 12 -3.13333 Y
1951 03 13 0.133333 Y
1951 03 14 0.333333 Y
1951 03 15 0.1 Y
1951 03 16 -3.93333 Y
1951 03 17 -4.1 Y
1951 03 18 -2.7 Y
1951 03 19 -2.56667 Y
1951 03 20 -3.06667 Y
1951 03 21 -3.56667 Y
1951 03 22 -3.53333 Y
1951 03 23 2.36667 Y
1951 03 24 -1.9 Y
1951 03 25 -2.03333 Y
1951 03 26 0.166667 Y
1951 03 27 -0.4 Y
1951 03 28 0.633333 Y
1951 03 29 -0.533333 Y
1951 03 30 -0.9 Y
1951 03 31 0.133333 Y
1951 04 01 1.53333 Y
1951 04 02 0.133333 Y
1951 04 03 2.23333 Y
